ZipCode,State,County,NormalizedCounty,City,NormalizedCity,TaxRegionName,NormalizedTaxRegionName,CombinedRate,StateRate,CountyRate,CityRate,SpecialRate,EstimatedPopulation,Year,Month
95493,CA,"LAKE COUNTY",lake-county,"WITTER SPRINGS",witter-springs,LAKE,lake,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
95494,CA,"MENDOCINO COUNTY",mendocino-county,YORKVILLE,yorkville,"MENDOCINO COUNTY LODGING BUSINESS IMPROVEMENT DISTRICT",mendocino-county-lodging-business-improvement-district,7.875000,6.000000,0.250000,0.000000,1.625000,0,2019,8
95497,CA,"SONOMA COUNTY",sonoma-county,"THE SEA RANCH",the-sea-ranch,"THE SEA RANCH",the-sea-ranch,8.250000,6.000000,0.250000,0.000000,2.000000,411,2019,8
95501,CA,"HUMBOLDT COUNTY",humboldt-county,EUREKA,eureka,EUREKA,eureka,8.500000,6.000000,0.250000,0.750000,1.500000,14321,2019,8
95502,CA,"HUMBOLDT COUNTY",humboldt-county,EUREKA,eureka,EUREKA,eureka,8.500000,6.000000,0.250000,0.750000,1.500000,2818,2019,8
95503,CA,"HUMBOLDT COUNTY",humboldt-county,EUREKA,eureka,"HUMBOLDT COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",humboldt-county-tourism-business-improvement-district,7.750000,6.000000,0.250000,0.000000,1.500000,16695,2019,8
95511,CA,"HUMBOLDT COUNTY",humboldt-county,ALDERPOINT,alderpoint,"HUMBOLDT COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",humboldt-county-tourism-business-improvement-district,7.750000,6.000000,0.250000,0.000000,1.500000,0,2019,8
95514,CA,"HUMBOLDT COUNTY",humboldt-county,BLOCKSBURG,blocksburg,"HUMBOLDT COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",humboldt-county-tourism-business-improvement-district,7.750000,6.000000,0.250000,0.000000,1.500000,0,2019,8
95518,CA,"HUMBOLDT COUNTY",humboldt-county,ARCATA,arcata,ARCATA,arcata,8.500000,6.000000,0.250000,0.750000,1.500000,1402,2019,8
95519,CA,"HUMBOLDT COUNTY",humboldt-county,MCKINLEYVILLE,mckinleyville,"HUMBOLDT COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",humboldt-county-tourism-business-improvement-district,7.750000,6.000000,0.250000,0.000000,1.500000,12766,2019,8
95521,CA,"HUMBOLDT COUNTY",humboldt-county,ARCATA,arcata,ARCATA,arcata,8.500000,6.000000,0.250000,0.750000,1.500000,10982,2019,8
95524,CA,"HUMBOLDT COUNTY",humboldt-county,BAYSIDE,bayside,"HUMBOLDT COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",humboldt-county-tourism-business-improvement-district,7.750000,6.000000,0.250000,0.000000,1.500000,1740,2019,8
95525,CA,"HUMBOLDT COUNTY",humboldt-county,"BLUE LAKE",blue-lake,"HUMBOLDT COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",humboldt-county-tourism-business-improvement-district,7.750000,6.000000,0.250000,0.000000,1.500000,1405,2019,8
95526,CA,"HUMBOLDT COUNTY",humboldt-county,BRIDGEVILLE,bridgeville,"HUMBOLDT COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",humboldt-county-tourism-business-improvement-district,7.750000,6.000000,0.250000,0.000000,1.500000,0,2019,8
95527,CA,"TRINITY COUNTY",trinity-county,"BURNT RANCH",burnt-ranch,"TRINITY COUNTY",trinity-county,7.250000,6.000000,0.250000,0.000000,1.000000,0,2019,8
95528,CA,"HUMBOLDT COUNTY",humboldt-county,CARLOTTA,carlotta,"HUMBOLDT COUNTY TOURISM BUSINESS IMPROVEMENT DISTRICT",humboldt-county-tourism-business-improvement-district,7.750000,6.000000,0.250000,0.000000,1.500000,754,2019,8
95531,CA,"DEL NORTE COUNTY",del-norte-county,"CRESCENT CITY",crescent-city,"DEL NORTE COUNTY",del-norte-county,7.500000,6.000000,0.250000,0.000000,1.250000,14062,2019,8
95532,CA,"DEL NORTE COUNTY",del-norte-county,"CRESCENT CITY",crescent-city,"CRESCENT CITY",crescent-city,7.500000,6.000000,0.250000,0.000000,1.250000,0,2019,8
